participant,segment,rms,zcr,amplitude_range,max_amplitude,min_amplitude,skewness,kurtosis
Participant_BPF_01,3,0.0056124264,0.09197998046875,0.22616577,0.09680176,-0.12936401,-1.2612522840499878,85.23598
Participant_BPF_01,4,0.0045651696,0.09151611328125,0.22616577,0.09680176,-0.12936401,-1.1578818559646606,101.55585
Participant_BPF_01,5,0.0032611124,0.08968505859375,0.21176147,0.10458374,-0.107177734,-0.0700092688202858,203.89143
Participant_BPF_01,6,0.0034730756,0.09146728515625,0.21176147,0.10458374,-0.107177734,-0.20820583403110504,202.28375
Participant_BPF_01,7,0.0023590734,0.0915771484375,0.08880615,0.046875,-0.041931152,-0.6400396227836609,48.10452
Participant_BPF_01,8,0.0023867083,0.091357421875,0.07232666,0.029876709,-0.04244995,-1.2450562715530396,32.86153
Participant_BPF_01,9,0.002483388,0.091259765625,0.07678223,0.029876709,-0.046905518,-1.5716829299926758,43.013554
Participant_BPF_02,3,0.0043404996,0.099560546875,0.16323853,0.07348633,-0.0897522,-0.5049540996551514,77.22514
Participant_BPF_02,4,0.0036450285,0.10252685546875,0.1295166,0.069000244,-0.060516357,0.10204759240150452,54.537136
Participant_BPF_02,5,0.0025298295,0.1021728515625,0.06866455,0.029693604,-0.038970947,-0.23012222349643707,20.332373
Participant_BPF_02,6,0.0025501836,0.1010986328125,0.11114502,0.04473877,-0.06640625,-0.946306586265564,81.87084
Participant_BPF_02,7,0.0023304876,0.10084228515625,0.11114502,0.04473877,-0.06640625,-1.0309982299804688,103.65766
Participant_BPF_02,8,0.0020747404,0.10166015625,0.04458618,0.02130127,-0.023284912,0.2693627178668976,18.321257
Participant_BPF_02,9,0.0022431666,0.10347900390625,0.05215454,0.027038574,-0.025115967,0.0183839313685894,17.691034
Participant_BPF_03,3,0.0024573256,0.10322265625,0.11013794,0.04714966,-0.06298828,-2.934805393218994,114.80209
Participant_BPF_03,4,0.0021573259,0.10233154296875,0.08148193,0.033416748,-0.048065186,-2.452209711074829,79.362526
Participant_BPF_03,5,0.0018064126,0.10279541015625,0.07418823,0.027496338,-0.046691895,-1.7915560007095337,64.65357
Participant_BPF_03,6,0.001571619,0.1183349609375,0.027801514,0.015319824,-0.012481689,-0.10918444395065308,9.576545
Participant_BPF_03,7,0.0015872158,0.1210205078125,0.022155762,0.011199951,-0.010955811,-0.18541230261325836,7.966277
Participant_BPF_03,8,0.0015252645,0.10758056640625,0.029327393,0.0152282715,-0.014099121,-0.17372135818004608,9.71623
Participant_BPF_03,9,0.0014181844,0.1052978515625,0.029327393,0.0152282715,-0.014099121,-0.1335420310497284,11.358006
Participant_BPF_04,3,0.0027741352,0.1092529296875,0.15649414,0.064971924,-0.09152222,-2.4220004081726074,181.82867
Participant_BPF_04,4,0.003197784,0.1056884765625,0.15649414,0.064971924,-0.09152222,-2.606426239013672,145.27777
Participant_BPF_04,5,0.0030968525,0.10277099609375,0.1368103,0.05419922,-0.082611084,-2.233280897140503,110.873024
Participant_BPF_04,6,0.002653617,0.108447265625,0.11773682,0.047943115,-0.0697937,-2.453246831893921,111.54884
Participant_BPF_04,7,0.0024216524,0.119970703125,0.12109375,0.048034668,-0.07305908,-3.0797784328460693,151.24767
Participant_BPF_04,8,0.0019422199,0.11727294921875,0.12109375,0.048034668,-0.07305908,-2.998465061187744,186.47168
Participant_BPF_04,9,0.001591333,0.108544921875,0.06890869,0.030517578,-0.038391113,-0.7760428786277771,81.10722
Participant_BPF_05,3,0.0056241164,0.09979248046875,0.37738037,0.1746521,-0.20272827,-2.002173662185669,266.07162
Participant_BPF_05,4,0.006248786,0.1028564453125,0.37738037,0.1746521,-0.20272827,-3.417121410369873,278.1267
Participant_BPF_05,5,0.005612387,0.10513916015625,0.35888672,0.17428589,-0.18460083,-2.4193148612976074,205.98854
Participant_BPF_05,6,0.00456977,0.103125,0.30563354,0.15362549,-0.15200806,0.11039236932992935,146.31915
Participant_BPF_05,7,0.0041801156,0.0984130859375,0.30563354,0.15362549,-0.15200806,-0.9657784104347229,300.4832
Participant_BPF_05,8,0.003600208,0.0950439453125,0.24978638,0.1182251,-0.13156128,-1.6689742803573608,245.64659
Participant_BPF_05,9,0.004947016,0.097900390625,0.6288452,0.3008423,-0.32800293,-4.6833415031433105,957.1811
Participant_BPF_06,3,0.0014823576,0.09981689453125,0.038391113,0.016815186,-0.021575928,-0.05832187458872795,14.368519
Participant_BPF_06,4,0.0017039087,0.0978515625,0.05871582,0.026855469,-0.03186035,-0.22102470695972443,35.84504
Participant_BPF_06,5,0.0016929641,0.10010986328125,0.05871582,0.026855469,-0.03186035,-0.26674792170524597,38.3234
