Modelo,RandomState,Accuracy,F1,Precision,Recall,AUC
GradientBoosting,70,0.85,0.8695652173913043,0.7692307692307693,1.0,0.9500000000000001
GradientBoosting,47,0.85,0.8571428571428571,0.8181818181818182,0.9,0.95
GradientBoosting,22,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9400000000000001
GradientBoosting,44,0.85,0.8421052631578947,0.8888888888888888,0.8,0.8500000000000001
GradientBoosting,46,0.85,0.8421052631578947,0.8888888888888888,0.8,0.8699999999999999
GradientBoosting,48,0.85,0.8421052631578947,0.8888888888888888,0.8,0.88
GradientBoosting,71,0.85,0.8235294117647058,1.0,0.7,0.8900000000000001
GradientBoosting,100,0.85,0.8235294117647058,1.0,0.7,0.86
GradientBoosting,66,0.8,0.8181818181818182,0.75,0.9,0.82
GradientBoosting,13,0.8,0.8181818181818182,0.75,0.9,0.8300000000000001
KNN,52,0.9,0.9090909090909091,0.8333333333333334,1.0,0.97
KNN,45,0.9,0.9090909090909091,0.8333333333333334,1.0,0.96
KNN,71,0.9,0.9090909090909091,0.8333333333333334,1.0,0.935
KNN,29,0.9,0.8888888888888888,1.0,0.8,0.9400000000000001
KNN,41,0.85,0.8695652173913043,0.7692307692307693,1.0,0.8950000000000001
KNN,15,0.85,0.8571428571428571,0.8181818181818182,0.9,0.7949999999999999
KNN,66,0.85,0.8571428571428571,0.8181818181818182,0.9,0.89
KNN,67,0.8,0.8333333333333334,0.7142857142857143,1.0,0.87
KNN,5,0.8,0.8333333333333334,0.7142857142857143,1.0,0.95
KNN,2,0.8,0.8333333333333334,0.7142857142857143,1.0,0.86
LogisticRegression,64,0.95,0.9523809523809523,0.9090909090909091,1.0,0.99
LogisticRegression,29,0.95,0.9473684210526315,1.0,0.9,0.97
LogisticRegression,5,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9500000000000001
LogisticRegression,41,0.9,0.9090909090909091,0.8333333333333334,1.0,0.99
LogisticRegression,13,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9600000000000001
LogisticRegression,70,0.9,0.9090909090909091,0.8333333333333334,1.0,1.0
LogisticRegression,47,0.9,0.9090909090909091,0.8333333333333334,1.0,0.99
LogisticRegression,38,0.9,0.9,0.9,0.9,0.92
LogisticRegression,58,0.9,0.9,0.9,0.9,0.9800000000000001
LogisticRegression,48,0.9,0.9,0.9,0.9,0.9700000000000001
MLP,68,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9700000000000001
MLP,41,0.9,0.9,0.9,0.9,0.9700000000000001
MLP,45,0.9,0.9,0.9,0.9,0.91
MLP,9,0.9,0.9,0.9,0.9,0.9700000000000001
MLP,58,0.9,0.8888888888888888,1.0,0.8,0.96
MLP,83,0.9,0.8888888888888888,1.0,0.8,0.98
MLP,90,0.9,0.8888888888888888,1.0,0.8,0.98
MLP,35,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9500000000000001
MLP,47,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9600000000000001
MLP,93,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9199999999999999
RandomForest,64,0.95,0.9523809523809523,0.9090909090909091,1.0,1.0
RandomForest,70,0.9,0.9090909090909091,0.8333333333333334,1.0,0.98
RandomForest,99,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9450000000000001
RandomForest,41,0.9,0.9,0.9,0.9,0.98
RandomForest,9,0.9,0.9,0.9,0.9,0.91
RandomForest,45,0.9,0.9,0.9,0.9,0.9
RandomForest,47,0.9,0.9,0.9,0.9,0.97
RandomForest,27,0.9,0.8888888888888888,1.0,0.8,0.88
RandomForest,62,0.9,0.8888888888888888,1.0,0.8,0.81
RandomForest,23,0.85,0.8695652173913043,0.7692307692307693,1.0,0.87
SVC_rbf,41,0.95,0.9523809523809523,0.9090909090909091,1.0,0.98
SVC_rbf,61,0.95,0.9523809523809523,0.9090909090909091,1.0,0.98
SVC_rbf,47,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9700000000000001
SVC_rbf,36,0.9,0.9090909090909091,0.8333333333333334,1.0,0.99
SVC_rbf,13,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9500000000000001
SVC_rbf,70,0.9,0.9090909090909091,0.8333333333333334,1.0,0.99
SVC_rbf,83,0.9,0.9,0.9,0.9,0.9400000000000001
SVC_rbf,45,0.9,0.9,0.9,0.9,0.9800000000000001
SVC_rbf,50,0.9,0.9,0.9,0.9,0.93
SVC_rbf,6,0.9,0.9,0.9,0.9,0.96
XGBoost,9,0.9,0.9,0.9,0.9,0.9
XGBoost,23,0.85,0.8695652173913043,0.7692307692307693,1.0,0.8500000000000001
XGBoost,41,0.85,0.8421052631578947,0.8888888888888888,0.8,0.97
XGBoost,99,0.85,0.8421052631578947,0.8888888888888888,0.8,0.89
XGBoost,70,0.8,0.8333333333333334,0.7142857142857143,1.0,0.93
XGBoost,36,0.8,0.8181818181818182,0.75,0.9,0.86
XGBoost,53,0.75,0.8,0.6666666666666666,1.0,0.84
XGBoost,59,0.8,0.8,0.8,0.8,0.87
XGBoost,64,0.8,0.8,0.8,0.8,0.9299999999999999
XGBoost,47,0.8,0.8,0.8,0.8,0.89
