type,time_s
S1,0.017
S1,0.3755
S1,0.51
S2,0.57
S1,1.1115
S1,1.2545
S1,1.3765
S1,1.803
S2,1.882
S1,2.3455
S1,2.519
S2,2.585
S1,2.7615
S1,2.9005
S2,2.976
S1,3.1835
S2,3.289
S1,3.515
S1,3.8885
S2,3.9605
S1,4.15
S2,4.2385
S1,4.585
S2,4.681
S1,5.101
S2,5.194
S1,5.9345
S2,6.0425
S1,6.6295
S2,6.7105
S1,6.9275
S1,7.2905
S2,7.358
S1,7.9565
S2,8.0295
S1,8.1655
S2,8.2405
S1,8.661
S2,8.7315
S1,9.255
S2,9.322
S1,9.7595
S1,9.92
S2,10.0245
S1,10.6375
S2,10.7255
S1,11.2745
S2,11.3685
S1,11.9755
S2,12.09
S1,12.5215
S1,12.6715
S2,12.737
S1,12.896
S2,12.962
S1,13.3485
S2,13.413
S1,13.9645
S2,14.0375
S1,14.7855
S2,14.8745
S1,15.297
S1,15.4265
S2,15.5375
S1,15.665
S2,15.74
S1,16.111
S2,16.2145
S1,16.3675
S2,16.4425
S1,16.6585
S2,16.72
S1,17.055
S1,17.21
S2,17.2785
S1,17.5105
S1,17.661
S1,17.88
S2,17.9665
