Modelo,RandomState,Accuracy,F1,Precision,Recall,AUC
GradientBoosting,100,0.75,0.7619047619047619,0.7272727272727273,0.8,0.88
GradientBoosting,50,0.7,0.7,0.7,0.7,0.69
GradientBoosting,45,0.7,0.7,0.7,0.7,0.77
KNN,70,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9800000000000001
KNN,45,0.9,0.9,0.9,0.9,0.9500000000000001
KNN,5,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9600000000000001
LogisticRegression,70,0.9,0.9090909090909091,0.8333333333333334,1.0,0.9800000000000001
LogisticRegression,35,0.9,0.9,0.9,0.9,0.9600000000000001
LogisticRegression,45,0.9,0.9,0.9,0.9,0.91
MLP,90,0.95,0.9473684210526315,1.0,0.9,1.0
MLP,0,0.9,0.9,0.9,0.9,0.99
MLP,35,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9500000000000001
RandomForest,45,0.9,0.9,0.9,0.9,0.91
RandomForest,70,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9400000000000001
RandomForest,100,0.85,0.8571428571428571,0.8181818181818182,0.9,0.9099999999999999
SVC_rbf,70,0.9,0.9090909090909091,0.8333333333333334,1.0,0.99
SVC_rbf,50,0.9,0.9,0.9,0.9,0.93
SVC_rbf,45,0.9,0.9,0.9,0.9,0.9800000000000001
XGBoost,70,0.8,0.8333333333333334,0.7142857142857143,1.0,0.93
XGBoost,30,0.75,0.782608695652174,0.6923076923076923,0.9,0.81
XGBoost,0,0.75,0.782608695652174,0.6923076923076923,0.9,0.8500000000000001
